letter,initial,medial,final,element,polarity,scope,modifier,category,ink_cost,description
가,ㄱ,ㅏ,,Wood,Yang,Single,None,Attack,10,단일 대상에 생목 가시를 쏘아 직접 피해.
각,ㄱ,ㅏ,ㄱ,Wood,Yang,Single,Bind,Attack,10,단일 대상에 생목 가시를 쏘아 직접 피해. 닿은 대상 속박.
간,ㄱ,ㅏ,ㄴ,Wood,Yang,Single,Sustain,Attack,10,단일 대상에 생목 가시를 쏘아 직접 피해. 장(場)으로 남아 지속.
감,ㄱ,ㅏ,ㅁ,Wood,Yang,Single,Trigger,TriggerInstall,10,덩굴 표식을 격발 장전으로 심는 공세형 설치([가정]).
갓,ㄱ,ㅏ,ㅅ,Wood,Yang,Single,Pierce,Attack,10,단일 대상에 생목 가시를 쏘아 직접 피해. 방어·다수 관통.
강,ㄱ,ㅏ,ㅇ,Wood,Yang,Single,Chain,Attack,10,단일 대상에 생목 가시를 쏘아 직접 피해. 인접으로 연쇄.
거,ㄱ,ㅓ,,Wood,Yin,Single,None,DefenseControl,10,한 대상/자신에 덩굴 방벽으로 막기(받아치기).
걱,ㄱ,ㅓ,ㄱ,Wood,Yin,Single,Bind,DefenseControl,10,한 대상/자신에 덩굴 방벽으로 막기(받아치기). 닿은 대상 속박.
건,ㄱ,ㅓ,ㄴ,Wood,Yin,Single,Sustain,DefenseControl,10,한 대상/자신에 덩굴 방벽으로 막기(받아치기). 장(場)으로 남아 지속.
검,ㄱ,ㅓ,ㅁ,Wood,Yin,Single,Trigger,TriggerInstall,10,덩굴 표식을 한 적에 발사·부착(C4식 설치). 양 진 격발 시 큰 그로기 + 생목·덩굴 폭발(상합).
것,ㄱ,ㅓ,ㅅ,Wood,Yin,Single,Pierce,DefenseControl,10,한 대상/자신에 덩굴 방벽으로 막기(받아치기). 방어·다수 관통.
겅,ㄱ,ㅓ,ㅇ,Wood,Yin,Single,Chain,DefenseControl,10,한 대상/자신에 덩굴 방벽으로 막기(받아치기). 인접으로 연쇄.
고,ㄱ,ㅗ,,Wood,Yang,Area,None,Attack,10,광역의 여러 대상에 생목 가시를 쏘아 피해.
곡,ㄱ,ㅗ,ㄱ,Wood,Yang,Area,Bind,Attack,10,광역의 여러 대상에 생목 가시를 쏘아 피해. 닿은 대상 속박.
곤,ㄱ,ㅗ,ㄴ,Wood,Yang,Area,Sustain,Attack,10,광역의 여러 대상에 생목 가시를 쏘아 피해. 장(場)으로 남아 지속.
곰,ㄱ,ㅗ,ㅁ,Wood,Yang,Area,Trigger,TriggerInstall,10,덩굴 표식을 격발 장전으로 심는 공세형 설치([가정]).
곳,ㄱ,ㅗ,ㅅ,Wood,Yang,Area,Pierce,Attack,10,광역의 여러 대상에 생목 가시를 쏘아 피해. 방어·다수 관통.
공,ㄱ,ㅗ,ㅇ,Wood,Yang,Area,Chain,Attack,10,광역의 여러 대상에 생목 가시를 쏘아 피해. 인접으로 연쇄.
구,ㄱ,ㅜ,,Wood,Yin,Area,None,DefenseControl,10,넓은 범위에 덩굴 방벽으로 광역 방어.
